ele,time,_lat,_lon
323.1,2022-10-22T14:26:28Z,40.6899700,-80.1351570
323.1,2022-10-22T14:26:29Z,40.6899670,-80.1351580
323.1,2022-10-22T14:26:30Z,40.6899690,-80.1351530
323.2,2022-10-22T14:26:31Z,40.6899700,-80.1351490
323.2,2022-10-22T14:26:32Z,40.6899720,-80.1351450
323.2,2022-10-22T14:26:33Z,40.6899740,-80.1351400
323.2,2022-10-22T14:26:34Z,40.6899760,-80.1351360
323.2,2022-10-22T14:26:35Z,40.6899780,-80.1351310
323.2,2022-10-22T14:26:36Z,40.6899790,-80.1351270
323.2,2022-10-22T14:26:37Z,40.6899810,-80.1351230
323.2,2022-10-22T14:26:38Z,40.6899830,-80.1351180
323.2,2022-10-22T14:26:39Z,40.6899850,-80.1351140
323.2,2022-10-22T14:26:40Z,40.6899860,-80.1351090
323.2,2022-10-22T14:26:41Z,40.6899880,-80.1351050
323.3,2022-10-22T14:26:42Z,40.6899900,-80.1351000
323.3,2022-10-22T14:26:43Z,40.6899920,-80.1350960
323.3,2022-10-22T14:26:44Z,40.6899940,-80.1351000
323.3,2022-10-22T14:26:45Z,40.6899870,-80.1351100
323.4,2022-10-22T14:26:46Z,40.6900070,-80.1351250
323.4,2022-10-22T14:26:47Z,40.6899980,-80.1351410
323.4,2022-10-22T14:26:48Z,40.6899890,-80.1351740
323.5,2022-10-22T14:26:49Z,40.6899870,-80.1351880
323.5,2022-10-22T14:26:50Z,40.6899960,-80.1352160
323.6,2022-10-22T14:26:51Z,40.6900080,-80.1352260
323.6,2022-10-22T14:26:52Z,40.6900140,-80.1352380
323.6,2022-10-22T14:26:53Z,40.6900270,-80.1352550
323.7,2022-10-22T14:26:54Z,40.6900450,-80.1352840
323.7,2022-10-22T14:26:55Z,40.6900480,-80.1353050
323.8,2022-10-22T14:26:56Z,40.6900530,-80.1353140
323.8,2022-10-22T14:26:57Z,40.6900590,-80.1353240
323.8,2022-10-22T14:26:58Z,40.6900640,-80.1353330
323.9,2022-10-22T14:26:59Z,40.6900780,-80.1353660
323.9,2022-10-22T14:27:00Z,40.6900980,-80.1353860
324.0,2022-10-22T14:27:01Z,40.6901030,-80.1354020
324.0,2022-10-22T14:27:02Z,40.6901250,-80.1354270
324.0,2022-10-22T14:27:03Z,40.6901310,-80.1354360
324.1,2022-10-22T14:27:04Z,40.6901370,-80.1354430
324.1,2022-10-22T14:27:05Z,40.6901400,-80.1354180
324.1,2022-10-22T14:27:06Z,40.6901430,-80.1354190
324.1,2022-10-22T14:27:07Z,40.6901540,-80.1354210
324.2,2022-10-22T14:27:08Z,40.6901660,-80.1354480
324.3,2022-10-22T14:27:09Z,40.6901930,-80.1354700
324.3,2022-10-22T14:27:10Z,40.6902070,-80.1354890
324.3,2022-10-22T14:27:11Z,40.6902120,-80.1355010
324.4,2022-10-22T14:27:12Z,40.6902160,-80.1355130
324.6,2022-10-22T14:27:13Z,40.6902410,-80.1355580
324.7,2022-10-22T14:27:14Z,40.6902540,-80.1355770
324.7,2022-10-22T14:27:15Z,40.6902670,-80.1356130
324.7,2022-10-22T14:27:16Z,40.6902730,-80.1356270
324.8,2022-10-22T14:27:17Z,40.6902840,-80.1356670
324.8,2022-10-22T14:27:18Z,40.6903010,-80.1357120
324.9,2022-10-22T14:27:19Z,40.6903120,-80.1357310
324.9,2022-10-22T14:27:20Z,40.6903310,-80.1357610
324.9,2022-10-22T14:27:21Z,40.6903480,-80.1357680
324.9,2022-10-22T14:27:22Z,40.6903740,-80.1357940
324.9,2022-10-22T14:27:23Z,40.6903980,-80.1358310
324.9,2022-10-22T14:27:24Z,40.6904130,-80.1358830
324.9,2022-10-22T14:27:25Z,40.6904320,-80.1359200
324.9,2022-10-22T14:27:26Z,40.6904360,-80.1359370
324.8,2022-10-22T14:27:27Z,40.6904310,-80.1359940
324.7,2022-10-22T14:27:28Z,40.6904280,-80.1360200
324.6,2022-10-22T14:27:29Z,40.6904110,-80.1360970
324.4,2022-10-22T14:27:30Z,40.6903990,-80.1361550
324.2,2022-10-22T14:27:31Z,40.6903940,-80.1362320
324.1,2022-10-22T14:27:32Z,40.6903890,-80.1363020
323.9,2022-10-22T14:27:33Z,40.6903940,-80.1363600
323.8,2022-10-22T14:27:34Z,40.6904030,-80.1364260
323.5,2022-10-22T14:27:35Z,40.6904120,-80.1365150
323.1,2022-10-22T14:27:36Z,40.6903810,-80.1365710
323.2,2022-10-22T14:27:37Z,40.6903770,-80.1366350
323.2,2022-10-22T14:27:38Z,40.6903720,-80.1366910
323.3,2022-10-22T14:27:39Z,40.6903830,-80.1367390
323.3,2022-10-22T14:27:40Z,40.6903830,-80.1367660
323.3,2022-10-22T14:27:41Z,40.6903790,-80.1368030
323.4,2022-10-22T14:27:42Z,40.6903750,-80.1368490
323.4,2022-10-22T14:27:43Z,40.6903730,-80.1368680
323.4,2022-10-22T14:27:44Z,40.6903660,-80.1369070
323.4,2022-10-22T14:27:45Z,40.6903630,-80.1369270
323.5,2022-10-22T14:27:46Z,40.6903600,-80.1369680
323.5,2022-10-22T14:27:47Z,40.6903610,-80.1369880
323.5,2022-10-22T14:27:48Z,40.6903600,-80.1370450
323.5,2022-10-22T14:27:49Z,40.6903540,-80.1370720
323.6,2022-10-22T14:27:50Z,40.6903440,-80.1371260
323.6,2022-10-22T14:27:51Z,40.6903390,-80.1371550
323.7,2022-10-22T14:27:52Z,40.6903360,-80.1372130
323.7,2022-10-22T14:27:53Z,40.6903320,-80.1372400
323.8,2022-10-22T14:27:54Z,40.6903280,-80.1372580
323.7,2022-10-22T14:27:55Z,40.6903160,-80.1372820
323.7,2022-10-22T14:27:56Z,40.6902980,-80.1372850
323.7,2022-10-22T14:27:57Z,40.6902990,-80.1373040
323.7,2022-10-22T14:27:58Z,40.6903090,-80.1373230
323.7,2022-10-22T14:27:59Z,40.6903080,-80.1373200
323.7,2022-10-22T14:28:00Z,40.6903060,-80.1373080
323.7,2022-10-22T14:28:01Z,40.6903030,-80.1372970
323.6,2022-10-22T14:28:02Z,40.6903000,-80.1372850
323.6,2022-10-22T14:28:03Z,40.6902970,-80.1372740
323.6,2022-10-22T14:28:04Z,40.6902810,-80.1372350
323.6,2022-10-22T14:28:05Z,40.6902800,-80.1372220
323.6,2022-10-22T14:28:06Z,40.6902820,-80.1371960
323.6,2022-10-22T14:28:07Z,40.6902750,-80.1371770
323.5,2022-10-22T14:28:08Z,40.6902760,-80.1371430
323.5,2022-10-22T14:28:09Z,40.6902770,-80.1371310
323.5,2022-10-22T14:28:10Z,40.6902790,-80.1371200
323.5,2022-10-22T14:28:11Z,40.6902770,-80.1370810
323.5,2022-10-22T14:28:12Z,40.6902740,-80.1370690
323.5,2022-10-22T14:28:13Z,40.6902740,-80.1370420
323.5,2022-10-22T14:28:14Z,40.6902820,-80.1370250
323.4,2022-10-22T14:28:15Z,40.6903010,-80.1369840
323.4,2022-10-22T14:28:16Z,40.6903090,-80.1369750
323.4,2022-10-22T14:28:17Z,40.6903360,-80.1369380
323.4,2022-10-22T14:28:18Z,40.6903440,-80.1369230
323.3,2022-10-22T14:28:19Z,40.6903620,-80.1368930
323.3,2022-10-22T14:28:20Z,40.6903790,-80.1368710
323.3,2022-10-22T14:28:21Z,40.6904040,-80.1368270
323.3,2022-10-22T14:28:22Z,40.6904010,-80.1367710
323.2,2022-10-22T14:28:23Z,40.6903970,-80.1367470
323.2,2022-10-22T14:28:24Z,40.6903870,-80.1367090
323.3,2022-10-22T14:28:25Z,40.6903650,-80.1366590
323.3,2022-10-22T14:28:26Z,40.6903580,-80.1366370
323.4,2022-10-22T14:28:27Z,40.6903580,-80.1365980
323.6,2022-10-22T14:28:28Z,40.6903450,-80.1365540
323.6,2022-10-22T14:28:29Z,40.6903410,-80.1365380
323.7,2022-10-22T14:28:30Z,40.6903290,-80.1364980
323.8,2022-10-22T14:28:31Z,40.6903270,-80.1364790
323.9,2022-10-22T14:28:32Z,40.6903070,-80.1364360
324.0,2022-10-22T14:28:33Z,40.6902960,-80.1363950
324.1,2022-10-22T14:28:34Z,40.6902860,-80.1363660
324.1,2022-10-22T14:28:35Z,40.6902900,-80.1363570
324.3,2022-10-22T14:28:36Z,40.6902690,-80.1362970
324.4,2022-10-22T14:28:37Z,40.6902580,-80.1362540
324.4,2022-10-22T14:28:38Z,40.6902560,-80.1362400
324.5,2022-10-22T14:28:39Z,40.6902360,-80.1362150
324.5,2022-10-22T14:28:40Z,40.6902240,-80.1362000
324.6,2022-10-22T14:28:41Z,40.6902120,-80.1361800
324.7,2022-10-22T14:28:42Z,40.6901970,-80.1361400
324.7,2022-10-22T14:28:43Z,40.6901880,-80.1361230
324.8,2022-10-22T14:28:44Z,40.6901770,-80.1360840
324.8,2022-10-22T14:28:45Z,40.6901720,-80.1360710
324.9,2022-10-22T14:28:46Z,40.6901450,-80.1360420
324.9,2022-10-22T14:28:47Z,40.6901390,-80.1360310
324.9,2022-10-22T14:28:48Z,40.6901250,-80.1360370
324.9,2022-10-22T14:28:49Z,40.6901100,-80.1360530
324.9,2022-10-22T14:28:50Z,40.6900750,-80.1360490
324.9,2022-10-22T14:28:51Z,40.6900490,-80.1360510
324.9,2022-10-22T14:28:52Z,40.6900430,-80.1360460
324.9,2022-10-22T14:28:53Z,40.6900460,-80.1360290
324.9,2022-10-22T14:28:54Z,40.6900450,-80.1360320
324.9,2022-10-22T14:28:55Z,40.6900480,-80.1360060
324.9,2022-10-22T14:28:56Z,40.6900470,-80.1360060
324.9,2022-10-22T14:28:57Z,40.6900360,-80.1359880
324.9,2022-10-22T14:28:58Z,40.6900280,-80.1359780
