s
ele,time,_lat,_lon
289.8,2022-11-14T19:44:14Z,40.4792620,-79.9224760
289.8,2022-11-14T19:44:15Z,40.4792610,-79.9224750
289.8,2022-11-14T19:44:16Z,40.4792590,-79.9224730
289.8,2022-11-14T19:44:17Z,40.4792580,-79.9224760
289.8,2022-11-14T19:44:18Z,40.4792610,-79.9224730
289.8,2022-11-14T19:44:19Z,40.4792610,-79.9224750
289.8,2022-11-14T19:44:20Z,40.4792580,-79.9224750
289.8,2022-11-14T19:44:21Z,40.4792570,-79.9224770
289.8,2022-11-14T19:44:22Z,40.4792560,-79.9224760
289.8,2022-11-14T19:44:23Z,40.4792580,-79.9224770
289.8,2022-11-14T19:44:58Z,40.4793480,-79.9224890
289.8,2022-11-14T19:44:59Z,40.4793730,-79.9224660
289.8,2022-11-14T19:45:00Z,40.4794070,-79.9224210
289.7,2022-11-14T19:45:01Z,40.4794470,-79.9223730
289.7,2022-11-14T19:45:02Z,40.4794620,-79.9222980
289.7,2022-11-14T19:45:03Z,40.4794360,-79.9222070
289.7,2022-11-14T19:45:04Z,40.4794020,-79.9221400
289.7,2022-11-14T19:45:05Z,40.4793740,-79.9220700
289.8,2022-11-14T19:45:06Z,40.4793480,-79.9220040
289.8,2022-11-14T19:45:07Z,40.4793220,-79.9219230
289.9,2022-11-14T19:45:08Z,40.4792950,-79.9218450
290.0,2022-11-14T19:45:09Z,40.4792710,-79.9217730
290.1,2022-11-14T19:45:10Z,40.4792440,-79.9216940
290.2,2022-11-14T19:45:11Z,40.4792140,-79.9216230
290.4,2022-11-14T19:45:12Z,40.4791890,-79.9215470
290.5,2022-11-14T19:45:13Z,40.4791600,-79.9214700
290.7,2022-11-14T19:45:14Z,40.4791320,-79.9213910
290.9,2022-11-14T19:45:15Z,40.4791060,-79.9213150
291.1,2022-11-14T19:45:16Z,40.4790860,-79.9212390
291.2,2022-11-14T19:45:17Z,40.4790620,-79.9211600
291.4,2022-11-14T19:45:18Z,40.4790320,-79.9210830
291.7,2022-11-14T19:45:19Z,40.4790040,-79.9210100
291.9,2022-11-14T19:45:20Z,40.4789710,-79.9209310
292.1,2022-11-14T19:45:21Z,40.4789410,-79.9208790
292.4,2022-11-14T19:45:22Z,40.4789170,-79.9207920
